Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,AT,BR,,,3,bodies,,T,F
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,AT,PE,,,1,live,,T,C
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,CA,US,BR,20,20,live,,T,C
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,CN,BR,,,6000,live,,T,C
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,CN,BR,,,1000,live,,T,F
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,ES,PE,,48,48,live,,Z,C
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,FR,US,BR,37,15,live,,T,C
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,GB,US,XX,,4,live,,L,I
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,GB,US,XX,4,,live,,Z,I
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,HK,BR,,750,,live,,T,F
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,HK,SG,,2300,800,live,,T,C
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,JP,BR,,,600,live,,T,C
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,JP,BR,,,200,live,,T,F
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,JP,PE,,,1920,live,,T,C
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,JP,SG,,400,900,live,,T,C
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,JP,US,BR,342,92,live,,T,C
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,KE,US,BR,,2,live,,T,W
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,KR,PE,,240,240,live,,T,C
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,KR,US,BR,6,,live,,T,C
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,PH,PE,,,144,live,,T,C
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,SG,BR,,,1000,live,,T,C
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,SG,BR,,,1000,live,,T,F
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,TH,PE,,,340,live,,T,C
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,TW,PE,,,300,live,,T,C
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,US,BR,,500,2700,live,,T,C
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,US,BR,,,600,live,,T,F
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,US,BR,,20,,live,,T,W
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,US,PE,,,48,live,,T,C
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,US,PE,,48,,live,,T,W
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,US,PE,,40,,scales,,T,I
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,US,PE,,184,,scales,,T,W
2001,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,US,PE,,46,,unspecified,,T,W
2002,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,CL,PE,,,150,scales,kg,Q,W
2002,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,CZ,PE,,,20,live,,T,C
2002,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,CZ,PE,,20,,live,,Z,C
2002,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,FR,PE,,,150,scales,kg,Q,W
2002,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,HK,SG,,,200,live,,T,C
2002,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,JP,PE,,350,7,live,,T,C
2002,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,JP,SG,,500,300,live,,T,C
2002,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,MY,SG,,,200,live,,T,C
2002,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,PH,PE,,,40,live,,T,C
2002,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,TW,SG,,,1000,live,,T,C
2002,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,US,BR,,135,181,scales,kg,T,C
2002,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,US,PE,,173,175,live,,T,C
2003,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,AE,SG,,,100,live,,T,F
2003,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,BS,US,,3,,live,,Z,C
2003,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,CH,CA,XX,,20,scales,,L,I
2003,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,CN,BR,,,500,live,,T,C
2003,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,ES,PE,,24,24,live,,T,C
2003,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,GB,BR,,10,10,live,,T,C
2003,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,GB,US,XX,,3,live,,Z,I
2003,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,HK,PE,,750,1150,live,,T,C
2003,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,JP,BR,,2011,2100,live,,T,C
